img_id,fold
test_1,-1
test_10,-1
test_11,-1
test_12,-1
test_13,-1
test_14,-1
test_15,-1
test_16,-1
test_17,-1
test_18,-1
test_19,-1
test_2,-1
test_20,-1
test_21,-1
test_22,-1
test_23,-1
test_24,-1
test_25,-1
test_26,-1
test_27,-1
test_28,-1
test_29,-1
test_3,-1
test_30,-1
test_31,-1
test_32,-1
test_33,-1
test_34,-1
test_35,-1
test_36,-1
test_37,-1
test_38,-1
test_39,-1
test_4,-1
test_40,-1
test_5,-1
test_6,-1
test_7,-1
test_8,-1
test_9,-1
train_159,1
train_77,2
train_82,3
train_33,4
train_120,1
train_153,2
train_75,3
train_111,4
