img_id,fold
train_1,1
train_2,3
train_3,4
train_4,2
train_5,2
train_6,3
train_7,3
train_8,4
train_9,2
train_10,3
train_11,2
train_12,4
train_13,2
train_14,3
train_15,1
train_16,1
train_17,2
train_18,3
train_19,1
train_20,3
train_21,4
train_22,4
train_23,3
train_24,2
train_25,4
train_26,4
train_27,1
train_28,4
train_29,3
train_30,1
train_31,3
train_32,1
train_33,2
train_34,3
train_35,4
train_36,1
train_37,2
test_1,-1
test_2,-1
test_3,-1
test_4,-1
test_5,-1
test_6,-1
test_7,-1
test_8,-1
test_9,-1
test_10,-1
test_11,-1
test_12,-1
test_13,-1
test_14,-1
